barrio,comuna
Palermo,14
Villa Devoto,11
Recoleta,2
Monserrat,1
San Nicolas,1
Retiro,1
Chacarita,15
Villa Urquiza,12
Villa Crespo,15
Almagro,5
Colegiales,13
San Telmo,1
Belgrano,13
Puerto Madero,1
San Cristobal,3
Balvanera,3
Villa Ortuzar,15
Liniers,9
Flores,7
Constitucion,1
Nuñez,13
Villa Del Parque,11
Caballito,6
Barracas,4
Parque Patricios,4
Parque Chacabuco,7
Villa Gral. Mitre,11
Coghlan,12
Boca,4
Paternal,15
Agronomia,15
Floresta,10
Saavedra,12
Velez Sarsfield,10
Villa Pueyrredon,12
Mataderos,9
Boedo,5
Parque Avellaneda,9
Parque Chas,15
Monte Castro,10
Villa Luro,10
Villa Santa Rita,11
Nueva Pompeya,4
Villa Soldati,8
Villa Lugano,8
Villa Riachuelo,8
Versalles,10
Villa Real,10
